X,subject,age,soa.mr,mr,cond.mr,soa.rt,rt,cond.rt,game.hr,drive.hr,computer.hr
108,26,49,MR1,0.03,Comb,RT1,828.9689655,Comb,1,3,5
190,26,49,MR2,0.03,Comb,RT2,815.337931,Comb,1,3,5
272,26,49,MR3,0.07,Comb,RT3,751.3357143,Comb,1,3,5
354,26,49,MR4,0.07,Comb,RT4,667.6214286,Comb,1,3,5
436,26,49,MR5,0.03,Comb,RT5,722.2241379,Comb,1,3,5
518,26,49,MR6,0.03,Vis,RT6,840.4793103,Vis,1,3,5
27,27,22,MR0,0.1,Vest,RT0,1098.222222,Vest,2,3,4
109,27,22,MR1,0,Comb,RT1,620.74,Comb,2,3,4
191,27,22,MR2,0,Comb,RT2,716.34,Comb,2,3,4
273,27,22,MR3,0,Comb,RT3,587.6166667,Comb,2,3,4
355,27,22,MR4,0,Comb,RT4,693.3066667,Comb,2,3,4
437,27,22,MR5,0,Comb,RT5,728.6366667,Comb,2,3,4
519,27,22,MR6,0,Vis,RT6,802.4233333,Vis,2,3,4
28,28,18,MR0,0.73,Vest,RT0,856.9,Vest,1,3,4
110,28,18,MR1,0,Comb,RT1,496.6866667,Comb,1,3,4
192,28,18,MR2,0,Comb,RT2,491.0133333,Comb,1,3,4
274,28,18,MR3,0,Comb,RT3,409.0733333,Comb,1,3,4
356,28,18,MR4,0,Comb,RT4,497.3666667,Comb,1,3,4
438,28,18,MR5,0.03,Comb,RT5,449.037931,Comb,1,3,4
520,28,18,MR6,0,Vis,RT6,496.88,Vis,1,3,4
29,29,18,MR0,0.03,Vest,RT0,1106.593103,Vest,5,3,4
111,29,18,MR1,0,Comb,RT1,903.0866667,Comb,5,3,4
193,29,18,MR2,0,Comb,RT2,898.4466667,Comb,5,3,4
275,29,18,MR3,0,Comb,RT3,861.8266667,Comb,5,3,4
357,29,18,MR4,0,Comb,RT4,920.3066667,Comb,5,3,4
439,29,18,MR5,0,Comb,RT5,939.1566667,Comb,5,3,4
521,29,18,MR6,0,Vis,RT6,1006.916667,Vis,5,3,4
30,30,37,MR0,0.03,Vest,RT0,897.6965517,Vest,1,3,4
112,30,37,MR1,0,Comb,RT1,697.2533333,Comb,1,3,4
194,30,37,MR2,0,Comb,RT2,637.7733333,Comb,1,3,4
276,30,37,MR3,0.03,Comb,RT3,629.7965517,Comb,1,3,4
358,30,37,MR4,0,Comb,RT4,633.5033333,Comb,1,3,4
440,30,37,MR5,0,Comb,RT5,667.3733333,Comb,1,3,4
522,30,37,MR6,0,Vis,RT6,850.7933333,Vis,1,3,4
31,31,51,MR0,0.6,Vest,RT0,1248.708333,Vest,1,4,4
113,31,51,MR1,0,Comb,RT1,849.9966667,Comb,1,4,4
195,31,51,MR2,0,Comb,RT2,830.1666667,Comb,1,4,4
277,31,51,MR3,0,Comb,RT3,745.3833333,Comb,1,4,4
359,31,51,MR4,0,Comb,RT4,775.46,Comb,1,4,4
441,31,51,MR5,0,Comb,RT5,802.4833333,Comb,1,4,4
523,31,51,MR6,0,Vis,RT6,858.6133333,Vis,1,4,4
32,32,39,MR0,0.17,Vest,RT0,1125.44,Vest,1,3,5
114,32,39,MR1,0,Comb,RT1,848.9833333,Comb,1,3,5
196,32,39,MR2,0,Comb,RT2,816.7833333,Comb,1,3,5
278,32,39,MR3,0,Comb,RT3,817.1966667,Comb,1,3,5
360,32,39,MR4,0,Comb,RT4,798.7333333,Comb,1,3,5
442,32,39,MR5,0,Comb,RT5,819.2733333,Comb,1,3,5
524,32,39,MR6,0,Vis,RT6,973.95,Vis,1,3,5
33,33,54,MR0,0.97,Vest,RT0,2221.8,Vest,4,4,5
115,33,54,MR1,0,Comb,RT1,908.0033333,Comb,4,4,5
197,33,54,MR2,0,Comb,RT2,871.3066667,Comb,4,4,5
279,33,54,MR3,0,Comb,RT3,819.12,Comb,4,4,5
361,33,54,MR4,0,Comb,RT4,823.0833333,Comb,4,4,5
443,33,54,MR5,0,Comb,RT5,827.79,Comb,4,4,5
525,33,54,MR6,0,Vis,RT6,905.26,Vis,4,4,5
34,34,43,MR0,0.07,Vest,RT0,805.8571429,Vest,1,3,4
116,34,43,MR1,0,Comb,RT1,672.94,Comb,1,3,4
198,34,43,MR2,0.03,Comb,RT2,574.7448276,Comb,1,3,4
280,34,43,MR3,0,Comb,RT3,568.5766667,Comb,1,3,4
362,34,43,MR4,0,Comb,RT4,561.8266667,Comb,1,3,4
444,34,43,MR5,0.03,Comb,RT5,615.3103448,Comb,1,3,4
526,34,43,MR6,0,Vis,RT6,695.0566667,Vis,1,3,4
35,35,54,MR0,0.87,Vest,RT0,1246.125,Vest,3,3,5
117,35,54,MR1,0,Comb,RT1,1074.56,Comb,3,3,5
199,35,54,MR2,0,Comb,RT2,983.39,Comb,3,3,5
281,35,54,MR3,0,Comb,RT3,940.9866667,Comb,3,3,5
363,35,54,MR4,0,Comb,RT4,919.7966667,Comb,3,3,5
445,35,54,MR5,0.03,Comb,RT5,1031.97931,Comb,3,3,5
527,35,54,MR6,0.03,Vis,RT6,1204.1,Vis,3,3,5
36,36,52,MR0,0.2,Vest,RT0,1397.570833,Vest,1,3,3
118,36,52,MR1,0,Comb,RT1,893.34,Comb,1,3,3
200,36,52,MR2,0,Comb,RT2,847.46,Comb,1,3,3
282,36,52,MR3,0,Comb,RT3,822.2033333,Comb,1,3,3
364,36,52,MR4,0,Comb,RT4,851.9366667,Comb,1,3,3
446,36,52,MR5,0,Comb,RT5,867.8533333,Comb,1,3,3
528,36,52,MR6,0,Vis,RT6,939.5433333,Vis,1,3,3
37,37,19,MR0,0.03,Vest,RT0,1088.296552,Vest,2,2,5
119,37,19,MR1,0,Comb,RT1,729.4266667,Comb,2,2,5
201,37,19,MR2,0,Comb,RT2,613.9,Comb,2,2,5
283,37,19,MR3,0,Comb,RT3,444.9,Comb,2,2,5
365,37,19,MR4,0.03,Comb,RT4,609.8758621,Comb,2,2,5
