sID,age,gender,cond,soa,rt,mr,rmv,mre,gameHr,driveHr,compHr,compensation
134,18,0,Com,-100,903.086666666666,0,104.630000000001,18.4142136565535,5,3,4,Credit
134,18,0,Com,-50,898.446666666667,0,79.4200000000001,14.9936134983837,5,3,4,Credit
134,18,0,Com,0,861.826666666667,0,77.443333333333,14.4093354299429,5,3,4,Credit
134,18,0,Com,50,920.306666666667,0,58.8766666666664,8.60150624844822,5,3,4,Credit
134,18,0,Com,100,939.156666666667,0,39.8666666666667,6.7294546056443,5,3,4,Credit
134,18,0,Vis,Inf,1006.91666666667,0,NaN,NaN,5,3,4,Credit
135,37,1,Ves,-Inf,897.696551724138,3.33333333333333,NaN,NaN,1,3,4,Credit
135,37,1,Com,-100,697.253333333333,0,93.3900000000004,24.917662403734,1,3,4,Credit
135,37,1,Com,-50,637.773333333333,0,118.986666666666,29.1987063255353,1,3,4,Credit
135,37,1,Com,0,629.796551724138,3.33333333333333,88.1333333333333,23.4228044965032,1,3,4,Credit
135,37,1,Com,50,633.503333333333,0,108.130000000001,25.5396923655568,1,3,4,Credit
135,37,1,Com,100,667.373333333333,0,84.8633333333333,21.5587020741426,1,3,4,Credit
135,37,1,Vis,Inf,850.793333333333,0,NaN,NaN,1,3,4,Credit
136,51,1,Ves,-Inf,1248.70833333333,60,NaN,NaN,1,4,4,Credit
136,51,1,Com,-100,849.996666666667,0,85.5833333333327,11.3306025369979,1,4,4,Credit
136,51,1,Com,-50,830.166666666667,0,78.5699999999997,8.63366888738886,1,4,4,Credit
136,51,1,Com,0,745.383333333333,0,79.1633333333338,13.1875427045158,1,4,4,Credit
136,51,1,Com,50,775.46,0,74.2133333333328,9.68460773961113,1,4,4,Credit
136,51,1,Com,100,802.483333333333,0,40.2966666666667,6.53728492452949,1,4,4,Credit
136,51,1,Vis,Inf,858.613333333333,0,NaN,NaN,1,4,4,Credit
137,39,0,Ves,-Inf,1125.44,16.6666666666667,NaN,NaN,1,3,5,Money
137,39,0,Com,-100,848.983333333333,0,122.453333333333,20.9475922218601,1,3,5,Money
137,39,0,Com,-50,816.783333333333,0,113.233333333333,20.2321076875499,1,3,5,Money
137,39,0,Com,0,817.196666666667,0,90.656666666667,16.0945976008351,1,3,5,Money
137,39,0,Com,50,798.733333333333,0,116.866666666667,17.9903143556308,1,3,5,Money
137,39,0,Com,100,819.273333333333,0,80.9266666666668,15.8813765251468,1,3,5,Money
137,39,0,Vis,Inf,973.95,0,NaN,NaN,1,3,5,Money
138,54,0,Ves,-Inf,2221.8,96.6666666666667,NaN,NaN,4,4,5,Money
138,54,0,Com,-100,908.003333333333,0,64.8033333333335,9.67477733786945,4,4,5,Money
138,54,0,Com,-50,871.306666666667,0,51.4266666666667,8.78853226695697,4,4,5,Money
138,54,0,Com,0,819.12,0,63.5100000000004,9.5154983098778,4,4,5,Money
138,54,0,Com,50,823.083333333333,0,65.8600000000003,9.07768670510865,4,4,5,Money
138,54,0,Com,100,827.79,0,63.0366666666668,8.55776241079908,4,4,5,Money
138,54,0,Vis,Inf,905.26,0,NaN,NaN,4,4,5,Money
139,43,0,Ves,-Inf,805.857142857143,6.66666666666667,NaN,NaN,1,3,4,Declined
139,43,0,Com,-100,672.94,0,65.7199999999997,15.3594921955248,1,3,4,Declined
139,43,0,Com,-50,574.744827586207,3.33333333333333,70.2033333333337,20.1988732743793,1,3,4,Declined
139,43,0,Com,0,568.576666666667,0,63.34,18.1970774565143,1,3,4,Declined
139,43,0,Com,50,561.826666666667,0,62.926666666667,19.1682212961053,1,3,4,Declined
139,43,0,Com,100,615.310344827586,3.33333333333333,24.97,8.42071251863073,1,3,4,Declined
139,43,0,Vis,Inf,695.056666666667,0,NaN,NaN,1,3,4,Declined
140,54,1,Ves,-Inf,1246.125,86.6666666666667,NaN,NaN,3,3,5,Money
140,54,1,Com,-100,1074.56,0,131.796666666668,20.1439151269764,3,3,5,Money
140,54,1,Com,-50,983.39,0,218.930000000003,24.0989274212866,3,3,5,Money
140,54,1,Com,0,940.986666666667,0,207.949999999999,24.4564035840508,3,3,5,Money
140,54,1,Com,50,919.796666666667,0,201.246666666667,26.1575635098599,3,3,5,Money
140,54,1,Com,100,1031.97931034483,3.33333333333333,130.683333333336,14.2945510883791,3,3,5,Money
140,54,1,Vis,Inf,1204.1,3.33333333333333,NaN,NaN,3,3,5,Money
141,52,0,Ves,-Inf,1397.57083333333,20,NaN,NaN,1,3,3,Money
141,52,0,Com,-100,893.34,0,120.543333333333,14.0641884417196,1,3,3,Money
141,52,0,Com,-50,847.46,0,127.9,14.3584751215207,1,3,3,Money
141,52,0,Com,0,822.203333333333,0,69.0999999999998,12.4890460968627,1,3,3,Money
141,52,0,Com,50,851.936666666667,0,121.276666666667,9.32438808924902,1,3,3,Money
141,52,0,Com,100,867.853333333333,0,80.5800000000002,7.63030266476976,1,3,3,Money
141,52,0,Vis,Inf,939.543333333333,0,NaN,NaN,1,3,3,Money
144,19,1,Ves,-Inf,1088.29655172414,3.33333333333333,NaN,NaN,2,2,5,Declined
144,19,1,Com,-100,729.426666666667,0,35.2066666666665,-7.93012125210759,2,2,5,Declined
144,19,1,Com,-50,613.9,0,24.4633333333333,1.90663563387645,2,2,5,Declined
144,19,1,Com,0,444.9,0,45.5166666666669,22.7379278302617,2,2,5,Declined
144,19,1,Com,50,609.875862068965,3.33333333333333,40.3266666666667,-9.56419389809508,2,2,5,Declined
144,19,1,Com,100,551.073333333333,0,8.74,4.29969060279111,2,2,5,Declined
144,19,1,Vis,Inf,556.637931034483,3.33333333333333,NaN,NaN,2,2,5,Declined
146,49,0,Ves,-Inf,1135.58181818182,63.3333333333333,NaN,NaN,1,2,4,Money
146,49,0,Com,-100,839.686666666667,0,91.7600000000012,16.8819084699904,1,2,4,Money
146,49,0,Com,-50,849.84,0,72.0999999999992,11.4965112646232,1,2,4,Money
146,49,0,Com,0,800.767857142857,6.66666666666667,63.6133333333329,5.7422388518157,1,2,4,Money
146,49,0,Com,50,788.603333333333,0,73.4633333333335,13.3625077818874,1,2,4,Money
146,49,0,Com,100,814.131034482759,3.33333333333333,53.3366666666668,7.47377759214415,1,2,4,Money
146,49,0,Vis,Inf,910.233333333333,0,NaN,NaN,1,2,4,Money
147,49,0,Ves,-Inf,1142.5625,73.3333333333333,NaN,NaN,2,4,4,Money
147,49,0,Com,-100,727.34,0,117.02,21.3913846944677,2,4,4,Money
147,49,0,Com,-50,683.9,0,114.709999999999,21.8638907757098,2,4,4,Money
147,49,0,Com,0,673.266666666667,0,92.1399999999999,18.4183752371347,2,4,4,Money
147,49,0,Com,50,659.72,0,74.0633333333332,20.0598631222535,2,4,4,Money
147,49,0,Com,100,671.373333333333,0,93.3399999999993,18.6477957880076,2,4,4,Money
147,49,0,Vis,Inf,797.758620689655,3.33333333333333,NaN,NaN,2,4,4,Money
148,59,1,Ves,-Inf,1142.63333333333,70,NaN,NaN,1,3,3,Money
148,59,1,Com,-100,648.16,0,89.5966666666669,21.6674589298807,1,3,3,Money
148,59,1,Com,-50,631.48,0,105.526666666667,18.7751357006268,1,3,3,Money
148,59,1,Com,0,606.48,0,118.256666666667,16.6289395786174,1,3,3,Money
148,59,1,Com,50,617.09,0,82.6666666666673,15.1704134094596,1,3,3,Money
148,59,1,Com,100,644.303333333333,0,85.4166666666673,11.4294747839475,1,3,3,Money
